,country,year,sex,age,suicide_ratio,is_WC_year,is_host,in_finals,participant,won
1266,Argentina,1996,male,15-24 years,0.8789552988448016,False,False,False,False,False
1267,Argentina,1996,male,25-34 years,0.9251299684800851,False,False,False,False,False
1268,Argentina,1996,male,35-54 years,1.3619941257505264,False,False,False,False,False
1269,Argentina,1996,male,5-14 years,0.04153809636838358,False,False,False,False,False
1270,Argentina,1996,male,55-74 years,2.0752269779507135,False,False,False,False,False
1271,Argentina,1996,male,75+ years,4.23956931359354,False,False,False,False,False
1272,Argentina,1997,female,15-24 years,0.3574818095539386,False,False,False,False,False
1273,Argentina,1997,female,25-34 years,0.29098786338119814,False,False,False,False,False
1274,Argentina,1997,female,35-54 years,0.4040723637278198,False,False,False,False,False
1275,Argentina,1997,female,5-14 years,0.033059291839914885,False,False,False,False,False
1276,Argentina,1997,female,55-74 years,0.4909073466720229,False,False,False,False,False
1277,Argentina,1997,female,75+ years,0.5502900731183299,False,False,False,False,False
1278,Argentina,1997,male,15-24 years,0.8129590678236117,False,False,False,False,False
1279,Argentina,1997,male,25-34 years,0.8658142393517043,False,False,False,False,False
1280,Argentina,1997,male,35-54 years,1.27332491058133,False,False,False,False,False
1281,Argentina,1997,male,5-14 years,0.05539584706081298,False,False,False,False,False
1282,Argentina,1997,male,55-74 years,2.0291739264027053,False,False,False,False,False
1283,Argentina,1997,male,75+ years,3.9783577339274347,False,False,False,False,False
1284,Argentina,1998,female,15-24 years,0.35620970377726024,True,False,False,True,False
1285,Argentina,1998,female,25-34 years,0.20700595739260072,True,False,False,True,False
1286,Argentina,1998,female,35-54 years,0.35479796669388397,True,False,False,True,False
1287,Argentina,1998,female,5-14 years,0.0596396631193989,True,False,False,True,False
1288,Argentina,1998,female,55-74 years,0.5192052154905618,True,False,False,True,False
1289,Argentina,1998,female,75+ years,0.5997347588161009,True,False,False,True,False
1290,Argentina,1998,male,15-24 years,1.0080321978431195,True,False,False,True,False
1291,Argentina,1998,male,25-34 years,1.0051301683613054,True,False,False,True,False
1292,Argentina,1998,male,35-54 years,1.2729184838538559,True,False,False,True,False
1293,Argentina,1998,male,5-14 years,0.04628337284294171,True,False,False,True,False
1294,Argentina,1998,male,55-74 years,2.276951100936627,True,False,False,True,False
1295,Argentina,1998,male,75+ years,3.986797946699883,True,False,False,True,False
1296,Argentina,1999,female,15-24 years,0.31274927045813744,False,False,False,False,False
1297,Argentina,1999,female,25-34 years,0.19537538645251443,False,False,False,False,False
1298,Argentina,1999,female,35-54 years,0.3356980603080375,False,False,False,False,False
1299,Argentina,1999,female,5-14 years,0.059214642122987035,False,False,False,False,False
1300,Argentina,1999,female,55-74 years,0.5023736236979539,False,False,False,False,False
1301,Argentina,1999,female,75+ years,0.48198155763294476,False,False,False,False,False
1302,Argentina,1999,male,15-24 years,1.082406833737432,False,False,False,False,False
1303,Argentina,1999,male,25-34 years,1.0417235847398894,False,False,False,False,False
1304,Argentina,1999,male,35-54 years,1.3473074246527592,False,False,False,False,False
1305,Argentina,1999,male,5-14 years,0.060306183106802254,False,False,False,False,False
1306,Argentina,1999,male,55-74 years,2.3459493274945262,False,False,False,False,False
1307,Argentina,1999,male,75+ years,3.9550213260953857,False,False,False,False,False
1308,Argentina,2000,female,15-24 years,0.357005792418982,False,False,False,False,False
1309,Argentina,2000,female,25-34 years,0.24066717525116293,False,False,False,False,False
1310,Argentina,2000,female,35-54 years,0.4090488180957555,False,False,False,False,False
1311,Argentina,2000,female,5-14 years,0.06183499772535544,False,False,False,False,False
1312,Argentina,2000,female,55-74 years,0.48179468156631816,False,False,False,False,False
1313,Argentina,2000,female,75+ years,0.4564964218111867,False,False,False,False,False
1314,Argentina,2000,male,15-24 years,1.4004377956080698,False,False,False,False,False
1315,Argentina,2000,male,25-34 years,1.2719448921229335,False,False,False,False,False
1316,Argentina,2000,male,35-54 years,1.4108524331346262,False,False,False,False,False
1317,Argentina,2000,male,5-14 years,0.05139313952980417,False,False,False,False,False
1318,Argentina,2000,male,55-74 years,2.579951718046419,False,False,False,False,False
1319,Argentina,2000,male,75+ years,4.417692859903915,False,False,False,False,False
1320,Argentina,2001,female,15-24 years,0.5087838778035985,False,False,False,False,False
1321,Argentina,2001,female,25-34 years,0.30480937147564163,False,False,False,False,False
1322,Argentina,2001,female,35-54 years,0.4875990783913038,False,False,False,False,False
1323,Argentina,2001,female,5-14 years,0.0703478319237875,False,False,False,False,False
1324,Argentina,2001,female,55-74 years,0.4912810170449411,False,False,False,False,False
